Age,Team,Year
26.8557019767,DET,1995
26.0229590555,GSW,1995
28.5201723264,HOU,1995
28.7407987867,IND,1995
24.8736921529,LAC,1995
25.8980658126,LAL,1995
27.0921484474,MIA,1995
25.6891966759,MIL,1995
25.3843781598,MIN,1995
27.4797283702,NJN,1995
29.4216885743,NYK,1995
26.6032112393,ORL,1995
25.0704872507,PHI,1995
29.2021684317,PHO,1995
29.2622177112,POR,1995
26.3841349786,SAC,1995
29.0309745656,SAS,1995
29.6075834176,UTA,1995
28.1479979726,ATL,1996
26.3035920623,BOS,1996
29.9371008616,CHI,1996
27.5165405951,CLE,1996
25.1060712494,DAL,1996
26.8193645991,DEN,1996
26.778920827,DET,1996
26.9564667173,GSW,1996
29.0340318101,HOU,1996
29.3693242217,IND,1996
25.193157628,LAC,1996
27.1101117886,LAL,1996
27.4479777553,MIA,1996
27.549366447,MIL,1996
26.402578362,MIN,1996
27.4461190656,NJN,1996
30.3701462431,NYK,1996
27.6734323848,ORL,1996
26.1477445514,PHI,1996
27.9195690303,PHO,1996
28.1137402663,POR,1996
26.5719058466,SAC,1996
29.4059656218,SAS,1996
26.1545637922,TOR,1996
29.5192113246,UTA,1996
28.7630901288,ATL,1997
26.0652097463,BOS,1997
30.7351748606,CHI,1997
26.7196172249,CLE,1997
27.1065387528,DAL,1997
28.6052182639,DEN,1997
28.2446293495,DET,1997
26.7411705602,GSW,1997
30.838630068,HOU,1997
27.9070245861,IND,1997
25.5115403914,LAC,1997
26.4967887607,LAL,1997
27.2437263317,MIA,1997
27.3202736949,MIL,1997
26.3442871587,MIN,1997
26.8052578362,NJN,1997
29.7317552254,NYK,1997
29.4255854948,ORL,1997
25.4549039434,PHI,1997
28.465625787,PHO,1997
26.448199446,POR,1997
27.4449760766,SAC,1997
29.913684744,SAS,1997
25.1497730711,TOR,1997
29.5753403933,UTA,1997
29.3513581489,ATL,1998
23.8611251901,BOS,1998
31.6805338706,CHI,1998
24.5649016641,CLE,1998
26.3311228335,DAL,1998
26.5107957425,DEN,1998
27.199799549,DET,1998
25.8697932426,GSW,1998
32.0404437721,HOU,1998
29.6525970751,IND,1998
25.6889282103,LAC,1998
25.7506807867,LAL,1998
28.1288281448,MIA,1998
27.6024084295,MIL,1998
26.4156046162,MIN,1998
27.7915995976,NJN,1998
30.2170953101,NYK,1998
30.8136157337,ORL,1998
25.3615287269,PHI,1998
28.1518416437,PHO,1998
26.0662128089,POR,1998
26.6251393817,SAC,1998
28.7335350479,SAS,1998
24.7938283994,TOR,1998
29.7372598584,UTA,1998
26.7327442565,WAS,1998
29.5758178054,ATL,1999
24.3164609053,BOS,1999
28.5826915114,CHI,1999
26.6661410788,CLE,1999
26.052505176,DAL,1999
24.6484823285,DEN,1999
27.667219917,DET,1999
28.1404536082,GSW,1999
29.6024016563,HOU,1999
30.7720661157,IND,1999
25.0122061856,LAC,1999
27.5107883817,LAL,1999
30.2518918919,MIA,1999
28.3347717842,MIL,1999
27.2128898129,MIN,1999
25.9801659751,NJN,1999
29.0436363636,NYK,1999
28.7259751037,ORL,1999
26.0319341564,PHI,1999
29.3152697095,PHO,1999
27.3710061602,POR,1999
26.1075409836,SAC,1999
30.0802484472,SAS,1999
27.2627743271,TOR,1999
30.3361806982,UTA,1999
29.3069709544,WAS,1999
27.6296520424,ATL,2000
25.4426761277,BOS,2000
26.0212572583,CHI,2000
27.1682699572,CLE,2000
26.3026355803,DAL,2000
25.9266179804,DEN,2000
28.2784165406,DET,2000
26.8758289041,GSW,2000
26.3397881997,HOU,2000
30.3933603649,IND,2000
24.2396346105,LAC,2000
29.1758141883,LAL,2000
29.2023197176,MIA,2000
28.1829765802,MIL,2000
26.5768902286,MIN,2000
27.3015128593,NJN,2000
29.4870398386,NYK,2000
26.3087319666,ORL,2000
27.0835098336,PHI,2000
28.6144912901,PHO,2000
29.5713346815,POR,2000
27.5188083817,SAC,2000
30.855049106,SAS,2000
29.2830169577,TOR,2000
31.4690458112,UTA,2000
28.0374652865,WAS,2000
26.0504815003,ATL,2001
25.9486132123,BOS,2001
23.1570888945,CHI,2001
26.8561270802,CLE,2001
26.5717748043,DAL,2001
27.8981294237,DEN,2001
27.1039032989,DET,2001
26.5913549039,GSW,2001
26.713867877,HOU,2001
27.7114614615,IND,2001
24.2834747878,LAC,2001
29.1915096709,LAL,2001
30.8500503018,MIA,2001
28.2219413549,MIL,2001
27.4348966213,MIN,2001
27.4609224531,NJN,2001
29.8245666918,NYK,2001
25.9508393886,ORL,2001
28.1636363636,PHI,2001
28.6487755617,PHO,2001
30.1078867543,POR,2001
27.0591135458,SAC,2001
29.4634392335,SAS,2001
29.9209721874,TOR,2001
32.0116784631,UTA,2001
26.9648373984,WAS,2001
25.6793731041,ATL,2002
26.2005042864,BOS,2002
25.5382984095,CHI,2002
25.9820196424,CLE,2002
27.5796780684,DAL,2002
28.1731885887,DEN,2002
29.5172256098,DET,2002
24.8417087968,GSW,2002
25.8784784785,HOU,2002
26.1135895504,IND,2002
24.3991921232,LAC,2002
27.8675935288,LAL,2002
25.4859959555,MEM,2002
30.092323131,MIA,2002
28.9305199699,MIL,2002
26.7125473365,MIN,2002
26.1373676248,NJN,2002
30.3071951527,NYK,2002
27.9759455371,ORL,2002
28.9562088191,PHI,2002
26.486283409,PHO,2002
29.0403933434,POR,2002
26.9534801316,SAC,2002
28.5404683959,SAS,2002
29.2567451278,TOR,2002
29.9005547151,UTA,2002
27.5360871769,WAS,2002
27.2319517709,ATL,2003
26.9474029249,BOS,2003
25.1595584546,CHI,2003
23.5064548664,CLE,2003
28.0662285137,DAL,2003
24.0834769387,DEN,2003
28.9847274554,DET,2003
24.3648190332,GSW,2003
25.9439538384,HOU,2003
25.8854559156,IND,2003
25.2971905847,LAC,2003
28.0534872052,LAL,2003
24.9246864024,MEM,2003
26.4974785678,MIA,2003
29.3380055262,MIL,2003
28.2371118404,MIN,2003
27.3285244242,NJN,2003
29.0579251444,NOH,2003
30.1664568119,NYK,2003
26.8662458975,ORL,2003
28.2503651473,PHI,2003
25.2122191366,PHO,2003
29.1743137749,POR,2003
28.3415532022,SAC,2003
28.3867876954,SAS,2003
27.5760666498,TOR,2003
30.9085945399,UTA,2003
28.3997478568,WAS,2003
26.2270786235,ATL,2004
26.3513828977,BOS,2004
26.8365607665,CHI,2004
24.8582221103,CLE,2004
27.3519313305,DAL,2004
25.5524075013,DEN,2004
27.3722952477,DET,2004
28.1195164946,GSW,2004
